,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
1,Rudy Carpenter,Arizona State,Pac-10,9,156,42,68.4,-9,10.0,11.1,1,2,175.0,-0.2
2,Brian Brohm,Louisville,Big East,10,207,41,68.8,-36,9.6,10.1,4,5,166.7,-0.9
3,Troy Smith,Ohio State,Big Ten,11,149,136,62.9,611,9.6,10.2,11,4,162.7,4.5
4,Vince Young,Texas,Big 12,13,212,155,65.2,1050,9.3,9.6,12,10,163.9,6.8
5,Matt Leinart,USC,Pac-10,13,283,51,65.7,36,8.9,9.3,6,8,157.7,0.7
6,John Stocco,Wisconsin,Big Ten,13,197,86,60.1,-32,8.9,8.9,2,9,150.5,-0.4
7,Brian Johnson,Utah,MWC,10,210,152,63.6,478,8.8,8.9,8,7,151.0,3.1
8,Brady Quinn,Notre Dame,Ind,12,292,70,64.9,90,8.7,9.4,1,7,158.4,1.3
9,Drew Stanton,Michigan State,Big Ten,11,236,121,66.7,338,8.7,8.4,4,12,153.4,2.8
10,Justin Holland,Colorado State,MWC,12,235,37,63.7,-174,8.6,8.0,0,15,148.6,-4.7
11,Drew Olson,UCLA,Pac-10,12,242,50,64.0,-48,8.5,9.5,1,6,161.6,-1.0
12,Bryan Cupito,Minnesota,Big Ten,11,176,24,59.3,30,8.5,8.4,0,9,145.9,1.3
13,Colt Brennan,Hawaii,WAC,12,350,99,68.0,154,8.4,8.6,2,13,155.5,1.6
14,Ryan Hart,Rutgers,Big East,10,155,25,60.8,-18,8.4,8.4,0,8,148.1,-0.7
15,Phil Horvath,Northern Illinois,MAC,9,168,34,70.6,21,8.4,8.4,1,8,159.4,0.6
16,D.J. Shockley,Georgia,SEC,12,173,78,55.8,322,8.3,9.2,4,5,148.3,4.1
17,Marcus Vick,Virginia Tech,ACC,13,177,147,61.2,380,8.3,7.9,6,10,143.3,2.6
18,Darrell Hackney,UAB,CUSA,11,242,51,62.7,105,8.2,8.0,1,12,144.5,2.1
19,Jordan Palmer,UTEP,CUSA,12,258,56,59.4,-50,8.1,7.4,2,19,140.5,-0.9
20,Alex Brink,Washington State,Pac-10,11,205,56,57.3,106,8.1,7.8,2,13,140.0,1.9
22,Omar Jacobs,Bowling Green State,MAC,9,195,40,60.7,62,8.1,8.7,1,7,150.9,1.6
23,Sam Hollenbach,Maryland,ACC,11,192,72,61.0,-18,8.1,6.7,2,15,132.8,-0.3
24,Isaiah Stanback,Washington,Pac-10,11,143,100,54.2,353,8.1,7.8,5,6,128.8,3.5
25,Paul Pinegar,Fresno State,WAC,13,265,46,63.7,59,8.0,7.8,3,15,147.6,1.3
26,Drew Tate,Iowa,Big Ten,12,219,44,62.2,41,8.0,8.4,1,7,146.4,0.9
27,Cody Hodges,Texas Tech,Big 12,12,353,109,66.5,191,7.9,8.1,3,12,147.6,1.8
28,JaMarcus Russell,LSU,SEC,12,188,61,60.5,-22,7.9,7.5,2,9,136.6,-0.4
29,Kevin Kolb,Houston,CUSA,12,254,104,60.5,200,7.8,7.1,5,15,133.4,1.9
30,Steven Moffett,UCF,CUSA,13,223,96,59.5,93,7.8,7.9,2,9,139.5,1.0
31,Bret Meyer,Iowa State,Big 12,12,227,133,61.7,123,7.8,7.6,1,10,138.9,0.9
32,Paul Smith,Tulsa,CUSA,13,227,111,62.4,258,7.8,8.2,6,6,142.9,2.3
33,Kyle Wright,Miami (FL),ACC,12,180,64,58.6,-101,7.8,7.5,1,10,137.2,-1.6
34,Jeff Ballard,Texas Christian,MWC,10,139,93,59.9,314,7.8,7.5,8,7,137.6,3.4
35,Matt Ryan,Boston College,ACC,10,121,37,62.1,94,7.8,7.4,5,5,135.7,2.5
36,James Pinkney,East Carolina,CUSA,11,222,95,60.7,193,7.6,7.4,7,8,132.5,2.0
37,Matt Moore,Oregon State,Pac-10,10,211,61,59.4,-100,7.6,5.8,3,19,123.1,-1.6
38,Michael Robinson,Penn State,Big Ten,12,162,163,52.1,806,7.6,7.2,11,10,127.2,4.9
39,Brandon Cox,Auburn,SEC,11,177,44,57.8,-125,7.6,7.4,0,8,132.6,-2.8
40,Jeff Rowe,Nevada,WAC,12,241,119,62.0,244,7.5,7.4,6,10,137.8,2.1
41,Jared Zabransky,Boise State,WAC,13,202,107,59.1,262,7.5,6.4,11,16,130.0,2.4
43,Blake Mitchell,South Carolina,SEC,11,186,45,59.0,-130,7.5,6.9,1,12,132.4,-2.9
44,Brodie Croyle,Alabama,SEC,12,202,64,59.6,-156,7.4,7.7,1,4,132.8,-2.4
45,Bruce Gradkowski,Toledo,MAC,11,207,61,62.3,291,7.4,7.6,4,12,146.4,4.8
46,Reggie McNeal,Texas A&M,Big 12,10,141,96,53.2,664,7.4,7.1,3,9,128.6,6.9
47,Brett Basanez,Northwestern,Big Ten,12,314,113,63.2,423,7.3,7.4,7,8,135.1,3.7
48,Josh Betts,Miami (OH),MAC,11,248,44,57.1,-61,7.3,7.2,1,13,133.2,-1.4
49,Dustin Almond,Southern Mississippi,CUSA,12,216,36,54.8,-97,7.3,7.1,2,12,129.0,-2.7
50,Corey Bramlet,Wyoming,MWC,11,214,82,59.6,109,7.3,5.9,3,18,125.4,1.3
51,Marques Hagans,Virginia,ACC,12,213,115,62.1,310,7.3,6.5,3,12,129.6,2.7
52,Charlie Whitehurst,Clemson,ACC,11,229,50,67.4,26,7.3,6.6,3,10,133.5,0.5
53,Nick Noce,Arkansas State,Sun Belt,12,156,125,55.3,236,7.3,6.5,5,10,123.4,1.9
54,Kole McKamey,New Mexico,MWC,9,144,119,62.3,429,7.3,6.7,4,9,134.3,3.6
55,John Beck,Brigham Young,MWC,12,331,73,64.5,61,7.2,7.1,2,13,137.6,0.8
56,Trent Edwards,Stanford,Pac-10,11,168,84,62.7,153,7.2,7.3,0,7,139.0,1.8
57,Kevin O'Connell,San Diego State,MWC,12,233,140,62.1,402,7.1,6.7,5,12,132.1,2.9
58,Chris Leak,Florida,SEC,12,235,105,62.8,81,7.1,7.4,6,6,136.5,0.8
59,Matt Kubik,Louisiana Tech,WAC,11,171,53,54.8,122,7.1,7.2,1,7,128.6,2.3
60,Tyler Palko,Pitt,Big East,11,193,70,56.6,-139,7.0,6.8,6,9,126.7,-2.0
61,Clint Marks,Middle Tennessee State,Sun Belt,11,197,69,66.1,-130,7.0,6.5,2,7,129.0,-1.9
62,Rick Clausen,Tennessee,SEC,9,120,25,57.4,-30,6.9,6.2,2,6,119.1,-1.2
64,Drew Weatherford,Florida State,ACC,13,276,67,58.8,-28,6.8,5.9,3,18,121.3,-0.4
65,Steven Wichman,Idaho,WAC,11,226,46,56.4,-199,6.8,5.6,0,18,117.2,-4.3
66,Matt Baker,North Carolina,ACC,11,180,79,52.0,-34,6.8,5.9,2,11,111.2,-0.4
67,Leon Jackson III,Utah State,WAC,9,132,136,57.6,328,6.8,6.3,1,6,120.7,2.4
68,Danny Embick,Florida Atlantic,Sun Belt,9,120,89,53.3,228,6.8,5.8,2,10,117.7,2.6
69,Jay Cutler,Vanderbilt,SEC,11,273,106,59.1,215,6.7,6.7,1,9,126.1,2.0
70,Kent Smith,Central Michigan,MAC,11,255,157,60.7,443,6.7,6.8,7,6,126.4,2.8
71,Joel Klatt,Colorado,Big 12,12,241,54,60.3,3,6.7,6.5,0,8,124.4,0.1
72,Josh Padrick,Florida International,Sun Belt,11,221,39,60.4,12,6.7,6.1,4,11,122.6,0.3
73,Joe Ayoob,California,Pac-10,11,125,58,49.2,58,6.7,5.4,5,14,114.1,1.0
74,Luke Getsy,Akron,MAC,13,278,56,53.0,-29,6.6,6.4,1,12,118.1,-0.5
75,Chad Henne,Michigan,Big Ten,12,223,54,58.4,25,6.6,6.9,1,8,129.6,0.5
76,Rhett Bomar,Oklahoma,Big 12,12,167,89,54.2,184,6.6,5.7,4,10,113.5,2.1
77,Andre Woodson,Kentucky,SEC,11,146,57,57.7,-133,6.5,5.9,1,6,115.4,-2.3
78,Micheal Spurlock,Ole Miss,SEC,11,142,51,53.2,-20,6.4,5.4,2,9,108.7,-0.4
79,Allan Evridge,Kansas State,Big 12,9,102,102,47.9,203,6.4,5.5,4,7,104.4,2.0
80,Joey Lynch,Ball State,MAC,11,198,86,63.1,-128,6.3,6.5,0,7,130.5,-1.5
81,Adam Tafralis,San Jose State,WAC,11,142,47,49.7,100,6.3,5.5,3,10,108.5,2.1
82,Jerad Romo,SMU,CUSA,11,155,103,55.0,174,6.3,5.8,3,7,113.6,1.7
83,Zac Taylor,Nebraska,Big 12,12,237,76,55.1,-41,6.2,5.8,1,12,115.9,-0.5
85,Matt Bohnet,Eastern Michigan,MAC,10,220,78,62.7,250,6.2,6.4,3,5,125.2,3.2
86,Zac Dahman,Army,Ind,11,168,43,56.2,-127,6.2,5.0,0,13,112.0,-3.0
87,Blake Powers,Indiana,Big Ten,11,212,100,56.4,121,6.1,5.4,4,16,118.7,1.2
88,Shawn Bell,Baylor,Big 12,10,190,39,59.4,-58,6.1,6.0,1,6,119.6,-1.5
89,Lester Ricard,Tulane,CUSA,10,166,36,51.4,-104,6.0,5.3,0,12,110.6,-2.9
90,Dustin Grutza,Cincinnati,Big East,11,168,106,56.0,28,6.0,5.1,2,11,111.1,0.3
91,Drew Willy,Buffalo,MAC,10,149,82,60.6,-32,6.0,4.3,0,12,109.4,-0.4
92,Steven Jyles,Louisiana-Monroe,Sun Belt,11,209,139,55.1,436,5.9,5.3,9,10,109.9,3.1
93,Tim Brasic,Illinois,Big Ten,11,206,151,61.1,420,5.9,5.1,3,11,114.7,2.8
94,Royal Gill,New Mexico State,WAC,10,195,41,59.5,-157,5.9,5.3,0,9,114.5,-3.8
95,Pat Julmiste,South Florida,Big East,12,124,126,49.2,336,5.9,4.4,4,11,98.0,2.7
96,Mike McGann,Temple,Ind,11,122,53,48.8,-55,5.9,3.8,0,13,91.7,-1.0
97,Brad Smith,Missouri,Big 12,12,237,229,59.4,1301,5.8,5.4,16,9,114.1,5.7
98,Reggie Ball,Georgia Tech,ACC,11,182,104,48.0,381,5.7,4.9,4,12,99.3,3.7
99,Michael Machen,Kent State,MAC,10,200,60,54.8,-42,5.7,4.1,0,18,102.7,-0.7
100,Joey Vincent,New Mexico State,WAC,12,113,60,52.6,166,5.7,3.7,0,12,98.2,2.8
101,Perry Patterson,Syracuse,Big East,11,130,72,47.6,-37,5.5,4.1,3,11,93.1,-0.5
102,Curtis Painter,Purdue,Big Ten,9,89,52,52.4,251,5.5,4.5,4,5,98.3,4.8
103,Zack Asack,Duke,ACC,9,90,78,50.0,95,5.4,3.9,2,8,95.4,1.2
104,Omarr Conner,Mississippi State,SEC,11,86,44,51.5,-15,5.4,5.0,0,5,106.7,-0.3
106,Austen Everson,Ohio,MAC,11,105,105,47.7,244,5.2,3.3,6,11,87.7,2.3
107,Bernard Morris,Marshall,CUSA,9,114,75,52.8,256,5.2,4.5,4,6,100.0,3.4
108,Daniel Meager,North Texas,Sun Belt,11,101,62,50.0,68,4.7,3.3,1,8,87.7,1.1
