,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
201,Johnny Walker,Colorado State,MWC,10,35,468,12.6,3,2,37
202,Scott Mitchell,Kentucky,SEC,11,30,387,12.5,1,1,31
203,Brandon Jones,Oklahoma,Big 12,13,27,345,12.8,3,,27
204,Matt Herian,Nebraska,Big 12,8,24,308,12.8,3,,24
205,Steve Odom,Toledo,MAC,13,53,675,12.7,5,,53
206,Talib Wise,Nevada,WAC,12,44,706,8.9,6,35,79
207,Joe Klopfenstein,Colorado,Big 12,13,33,418,12.7,5,,33
208,James Hawkins,Bowling Green State,MAC,12,25,318,12.7,2,,25
209,James Jones,San Jose State,WAC,11,25,319,10.6,1,5,30
211,Chad Owens,Hawaii,WAC,13,102,1290,12.5,17,1,103
212,Demetrius Williams,Oregon,Pac-10,9,47,599,12.5,2,1,48
213,Marcedes Lewis,UCLA,Pac-10,12,32,402,12.6,7,,32
214,Tyler Holden,Wyoming,MWC,12,27,339,11.7,1,2,29
215,Moey Mutz,Arizona State,Pac-10,12,35,438,12.5,1,,35
216,Ashton Aikens,Northwestern,Big Ten,11,32,401,12.5,0,,32
217,Tony Brown,Tennessee,SEC,13,31,388,12.5,3,,31
218,Evan Judge,Colorado,Big 12,12,31,389,12.2,4,1,32
219,Kerry Johnson,Ole Miss,SEC,11,27,339,12.1,0,1,28
220,Ross Pilkington,Nebraska,Big 12,11,27,337,12.5,2,,27
221,Cory Ross,Nebraska,Big 12,11,21,1364,6.0,8,207,228
222,Nichiren Flowers,Nevada,WAC,12,91,1126,12.4,6,,91
223,Matt Cutaia,Connecticut,Big East,12,44,545,12.4,1,,44
224,Craphonso Thorpe,Florida State,ACC,11,40,496,12.4,2,,40
225,Brad Cieslak,Northern Illinois,MAC,12,31,384,12.4,3,,31
226,Kendal Briles,Houston,CUSA,6,25,328,9.4,1,10,35
227,Matt Spaeth,Minnesota,Big Ten,12,24,298,12.4,4,,24
228,Taylor Stubblefield,Purdue,Big Ten,12,89,1095,12.3,16,,89
229,Joe Newton,Oregon State,Pac-10,12,56,687,12.3,7,,56
230,Tavares Gideon,Memphis,CUSA,12,54,665,12.3,11,,54
232,Brandon Williams,Wisconsin,Big Ten,12,42,573,11.5,0,8,50
233,Derrick Fenner,Maryland,ACC,11,35,430,12.3,2,,35
234,T.J. Williams,North Carolina State,ACC,11,31,382,12.3,0,,31
235,R.J. Corbin,Miami (OH),MAC,12,26,319,12.3,1,,26
236,Jason Rivers,Hawaii,WAC,13,80,973,12.2,7,,80
237,Jeff Webb,San Diego State,MWC,11,71,867,12.0,6,1,72
238,Kyle Ingraham,Purdue,Big Ten,12,51,624,12.2,7,,51
239,Charles Davis,Purdue,Big Ten,12,34,416,12.2,3,,34
240,Jeff King,Virginia Tech,ACC,13,25,304,12.2,4,,25
241,Joel Hazard,Boston College,Big East,12,34,414,11.8,5,1,35
242,Anthony Wheat-Brown,Oregon State,Pac-10,10,33,400,12.1,3,,33
243,Garrett Cross,California,Pac-10,11,28,339,12.1,5,,28
244,Ryan Kennedy,SMU,WAC,11,21,254,12.1,1,,21
245,Chris Foster,SMU,WAC,11,37,452,11.9,4,1,38
246,George Murray,Cincinnati,CUSA,12,30,384,8.7,0,14,44
247,Bill Flowers,Ole Miss,SEC,8,29,349,12.0,2,,29
248,Richard Washington,North Carolina State,ACC,8,29,481,11.7,2,12,41
249,Alec Messerall,Air Force,MWC,10,22,265,11.5,1,1,23
250,Ricky Williams,Arizona,Pac-10,11,22,264,12.0,0,,22
251,A.J. Bennett,Eastern Michigan,MAC,11,36,456,11.7,3,3,39
253,Tee Milons,Mississippi State,SEC,10,24,285,11.9,2,,24
254,Kelvin Grant,Clemson,ACC,10,23,274,11.9,0,,23
255,S.J. Green,South Florida,CUSA,11,22,262,11.9,1,,22
256,Ed Hinkel,Iowa,Big Ten,12,63,744,11.8,7,,63
257,Reggie Bush,USC,Pac-10,13,43,1417,7.6,13,143,186
258,Jason Avant,Michigan,Big Ten,11,38,447,11.8,3,,38
259,Alvin Marshall,UNLV,MWC,11,37,494,11.5,1,6,43
260,Mario Hill,Ole Miss,SEC,11,36,435,11.8,0,1,37
261,Michael McGrew,Virginia,ACC,12,30,355,11.8,2,,30
262,Jermaine Jamison,Fresno State,WAC,11,24,284,11.8,3,,24
263,Mark Philmore,Northwestern,Big Ten,8,54,633,11.7,2,,54
264,Brandon Rideau,Kansas,Big 12,11,51,597,11.7,7,,51
265,Joe Delsardo,Pitt,Big East,12,49,573,11.5,4,1,50
266,Jonathan Fields,Northwestern,Big Ten,12,48,620,11.3,4,7,55
267,Cody Fuller,Texas Tech,Big 12,12,43,505,11.7,0,,43
268,Maurice Avery,Memphis,CUSA,12,36,485,10.8,1,9,45
269,Jabari Arthur,Akron,MAC,9,23,287,9.6,0,7,30
270,Steve Suter,Maryland,ACC,10,23,301,10.8,0,5,28
271,Tramain Hall,North Carolina State,ACC,11,28,405,9.6,3,14,42
272,Mark Simmons,Kansas,Big 12,11,48,572,11.2,3,3,51
274,Brandon Allen,New Mexico State,Sun Belt,11,26,312,10.8,1,3,29
275,Derrick Bush,Kent State,MAC,11,25,288,10.7,3,2,27
276,Marcus Maxwell,Oregon,Pac-10,11,25,287,11.5,2,,25
277,Norris Drinkard,UAB,CUSA,12,23,421,9.6,6,21,44
278,Rich Parson,Maryland,ACC,11,22,254,11.5,1,,22
279,Tyrell McElroy,Kent State,MAC,10,22,259,10.8,0,2,24
280,Caleb Spencer,Nevada,WAC,12,67,769,11.3,4,1,68
281,O.J. Small,Florida,SEC,12,63,719,11.4,4,,63
282,Gerald Welch,Hawaii,WAC,13,45,515,11.4,5,,45
283,Jerramy Scott,Michigan State,Big Ten,12,39,449,11.0,3,2,41
284,Robert Jordan,California,Pac-10,8,29,328,10.9,2,1,30
285,Ronnie Elliott,Duke,ACC,11,28,322,11.1,1,1,29
286,Jermaine Landrum,Tulsa,WAC,12,24,294,9.5,2,7,31
287,Limas Sweed,Texas,Big 12,11,23,263,11.4,0,,23
288,Reynaldo Pellerin,SMU,WAC,11,21,239,11.4,3,,21
289,Matt Trannon,Michigan State,Big Ten,11,36,417,11.3,2,1,37
290,Joseph Addai,LSU,SEC,12,26,974,7.7,7,101,127
291,Trent Shelton,Baylor,Big 12,11,38,498,12.1,5,3,41
292,Chansi Stuckey,Clemson,ACC,9,25,293,8.4,0,10,35
293,Levi Dejohnette,Arkansas State,Sun Belt,11,25,280,11.2,2,,25
295,Tielor Robinson,Army,CUSA,10,22,704,6.6,6,85,107
296,Jason Montgomery,Akron,MAC,11,42,466,10.4,4,3,45
297,Dustin Pleasant,Wyoming,MWC,9,40,456,11.1,3,1,41
298,B.J. Crist,Louisiana,Sun Belt,9,38,420,11.1,2,,38
299,Steve Gregory,Syracuse,Big East,8,38,447,10.4,1,5,43
300,Caleb Blankenship,Tulsa,WAC,12,28,312,11.1,2,,28
301,Troy Bienemann,Washington State,Pac-10,11,26,288,11.1,2,,26
302,Dante Rosario,Oregon,Pac-10,11,25,307,8.8,7,10,35
303,Jason Kukahiko,Brigham Young,MWC,11,21,245,11.1,0,1,22
304,Garrett Mills,Tulsa,WAC,12,51,560,11.0,2,,51
305,Todd Miller,Iowa State,Big 12,12,31,341,11.0,1,,31
306,Sam Hurd,Northern Illinois,MAC,10,27,298,11.0,3,,27
307,Ron Monteilh,Colorado,Big 12,12,32,355,10.8,1,1,33
308,Jared Ulekowski,Army,CUSA,11,25,272,10.9,1,,25
309,Tony Scheffler,Western Michigan,MAC,11,53,570,10.8,3,,53
310,Chris Marrow,UTEP,WAC,10,32,353,9.8,2,4,36
311,Duan Bracey,Eastern Michigan,MAC,9,25,330,8.7,0,13,38
312,Josh Davis,Marshall,MAC,12,86,921,10.2,7,4,90
313,Nehemiah Glover,Texas Tech,Big 12,9,62,663,9.6,1,7,69
314,Agim Shabaj,Michigan State,Big Ten,11,29,319,10.3,1,2,31
316,Kevin Roach,East Carolina,CUSA,11,26,275,10.6,1,,26
317,Darrell Dowery,Kent State,MAC,10,68,718,9.8,4,5,73
318,Tyrone Walker,Western Michigan,MAC,11,33,346,10.5,2,,33
319,Jermaine Moreira,Kansas State,Big 12,11,39,406,10.4,4,,39
320,Dominique Byrd,USC,Pac-10,9,37,385,10.1,3,1,38
321,Lawrence Vickers,Colorado,Big 12,13,28,542,6.0,2,63,91
322,Davin Dennis,Kansas State,Big 12,11,22,229,10.4,1,,22
323,Brad Bates,Marshall,MAC,12,52,530,10.0,7,1,53
324,Wendell Octave,Idaho,Sun Belt,9,36,368,10.2,2,,36
325,Thomson Omboga,Missouri,Big 12,11,39,396,9.7,0,2,41
326,Victor Sesay,Missouri,Big 12,11,31,314,10.1,2,,31
327,Chris Jackson,Ohio,MAC,9,39,389,9.0,0,4,43
328,Zach Miller,Arizona State,Pac-10,12,56,552,9.9,6,,56
329,Joel Dreessen,Colorado State,MWC,11,43,429,9.8,3,1,44
330,Cory Boyd,South Carolina,SEC,11,35,656,6.8,4,62,97
331,Lyonel Anderson,Kansas,Big 12,10,33,328,9.9,3,,33
332,Devin Pitts,San Diego State,MWC,10,23,228,9.9,0,,23
333,Marcus Daniels,Rutgers,Big East,10,23,228,9.9,2,,23
334,Bobby Bernal-Wood,Idaho,Sun Belt,12,96,947,9.7,3,2,98
335,Chris Henry,Middle Tennessee State,Sun Belt,11,60,613,9.3,0,6,66
337,P.J. Pope,Bowling Green State,MAC,12,50,1588,7.0,21,178,228
338,Chris Holmes,Toledo,MAC,13,36,352,9.8,0,,36
339,Noah Herron,Northwestern,Big Ten,12,36,1732,5.6,15,274,310
340,Warren Holloway,Iowa,Big Ten,12,29,293,9.8,1,1,30
341,Chris Talley,Eastern Michigan,MAC,10,21,210,9.5,1,1,22
342,Cole Magner,Bowling Green State,MAC,12,77,743,9.2,6,4,81
343,Dominique Zeigler,Baylor,Big 12,10,55,539,9.6,5,1,56
344,Ben Patrick,Duke,ACC,11,32,311,9.7,1,,32
345,Eugene Gross,Middle Tennessee State,Sun Belt,11,24,645,5.1,7,103,127
346,Brian Howard,East Carolina,CUSA,6,21,203,9.7,1,,21
347,Bristol Olomua,Texas Tech,Big 12,7,27,259,9.6,5,,27
348,Mike Espy,Ole Miss,SEC,11,24,254,9.4,1,3,27
349,Cleannord Saintil,Middle Tennessee State,Sun Belt,11,40,399,9.5,2,2,42
350,Willie Sipoloa,Idaho,Sun Belt,11,23,314,6.3,3,27,50
351,Scooter McDougle,Toledo,MAC,13,28,880,5.1,8,146,174
352,Terrence Whitehead,Oregon,Pac-10,11,44,1549,6.3,8,200,244
353,Ronnie Brown,Auburn,SEC,12,34,1226,6.6,9,153,187
354,Jarwarski Pollock,North Carolina,ACC,12,45,432,8.5,2,6,51
355,Michael Bumpus,Washington State,Pac-10,11,35,349,8.9,1,4,39
356,Carlton Jones,Army,CUSA,11,26,1506,6.4,17,209,235
358,Michael Hart,Michigan,Big Ten,12,26,1692,5.5,10,282,308
359,Luke Clemens,Miami (OH),MAC,13,25,1126,4.7,15,213,238
360,Skyler Green,LSU,SEC,10,24,233,8.3,3,4,28
361,Isaac Smolko,Penn State,Big Ten,11,21,192,9.1,2,,21
362,Marcus Furman,Pitt,Big East,11,27,359,5.6,1,37,64
363,Howard Jackson,UTEP,WAC,12,30,1455,5.4,11,239,269
364,Brad Ekwerekwu,Missouri,Big 12,11,22,195,8.9,0,,22
365,Jerry Seymour,Central Michigan,MAC,11,47,1697,5.5,5,262,309
366,Raymond Hicks,Utah State,Sun Belt,10,39,355,8.1,1,5,44
367,Tyson Devree,Western Michigan,MAC,11,25,218,8.7,3,,25
368,Tony Hunt,Penn State,Big Ten,11,39,1111,5.3,7,169,208
369,Steve Breaston,Michigan,Big Ten,11,34,367,8.3,3,10,44
370,Emanuel Spann,Marshall,MAC,12,27,233,8.6,0,,27
371,Emmanuel Spann,Marshall,MAC,12,27,233,8.6,0,0,27
372,Franklin Payne,Illinois,Big Ten,11,25,222,8.5,1,1,26
373,Brian Leonard,Rutgers,Big East,10,61,1250,4.8,9,199,260
374,Glenn Holt,Kentucky,SEC,11,49,532,8.6,3,13,62
375,Michael Franklin,San Diego State,MWC,11,26,683,5.1,2,107,133
376,Brandon Horn,Northwestern,Big Ten,11,24,222,8.2,2,3,27
377,Jason Davis,Illinois,Big Ten,11,41,570,6.3,3,49,90
379,Aaron Sanchez,Florida Atlantic,Sun Belt,12,24,373,6.0,5,38,62
380,Darcy Johnson,UCF,MAC,11,30,244,8.1,0,,30
381,Michael Brewster,Hawaii,WAC,13,34,995,6.8,7,113,147
382,Bryan Williamson,Ball State,MAC,10,21,168,8.0,2,,21
383,John Randle,Kansas,Big 12,10,35,814,4.5,9,147,182
384,Jason Teague,Michigan State,Big Ten,12,28,907,5.1,10,150,178
385,Raymond Kirkley,Pitt,Big East,10,23,739,4.2,6,154,177
386,Ciatrick Fason,Florida,SEC,12,35,1533,6.0,12,222,257
387,Chris Johnson,East Carolina,CUSA,11,32,797,4.8,7,134,166
388,Dontrell Moore,New Mexico,MWC,11,27,1289,5.0,6,232,259
389,Johnnie Mack,Texas Tech,Big 12,12,26,514,6.2,8,57,83
390,Darren Sproles,Kansas State,Big 12,11,32,1541,5.6,11,244,276
391,Damien Nash,Missouri,Big 12,10,25,968,5.1,8,164,189
392,Mason Denham,Louisiana-Monroe,Sun Belt,11,27,714,4.7,2,125,152
393,Cornell Brockington,Connecticut,Big East,12,34,1449,5.3,12,238,272
394,Lorenzo Booker,Florida State,ACC,12,24,1047,5.3,4,173,197
395,Curtis Brown,Brigham Young,MWC,11,27,964,5.2,6,158,185
396,Richard Hall,Cincinnati,CUSA,12,25,1164,5.0,7,210,235
397,Travis Cones,Louisiana,Sun Belt,11,24,286,6.5,1,20,44
398,Tim Brown,Temple,Big East,10,33,631,4.5,3,108,141
400,Chris Barclay,Wake Forest,ACC,11,21,1128,4.3,9,243,264
401,Taurean Henderson,Texas Tech,Big 12,12,60,1126,5.1,18,162,222
402,David Alston,Kent State,MAC,11,28,727,3.5,11,178,206
