,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
1,Kenton Keith,New Mexico State,Big West,11,109,865,7.5,4,6,115
2,Levron Williams,Indiana,Big Ten,10,116,937,6.9,10,20,136
3,Correll Buckhalter,Nebraska,Big 12,11,106,835,7.5,8,5,111
4,Deonce Whitaker,San Jose State,WAC,10,224,1614,7.1,16,3,227
5,Dwone Hicks,Middle Tennessee State,Ind,11,186,1458,7.1,21,19,205
6,James Mungro,Syracuse,Big East,10,115,954,7.5,7,12,127
7,Damien Anderson,Northwestern,Big Ten,12,311,2195,6.7,23,19,330
8,Chris Barnes,New Mexico State,Big West,11,171,1203,6.7,5,8,179
9,Dan Alexander,Nebraska,Big 12,11,182,1171,6.4,8,2,184
10,Rich Alexis,Washington,Pac-10,11,118,776,6.3,9,5,123
11,Clinton Portis,Miami (FL),Big East,8,77,588,7.2,2,5,82
12,William Green,Boston College,Big East,11,187,1242,6.4,15,6,193
13,Dicenzo Miller,Mississippi State,SEC,11,161,1340,7.2,12,24,185
14,Michael Wallace,Army,CUSA,10,192,1344,6.2,12,24,216
15,Dee Brown,Syracuse,Big East,11,172,1121,6.0,11,14,186
16,Chester Taylor,Toledo,MAC,11,250,1599,6.0,19,17,267
17,Nate Scott,Wyoming,MWC,10,110,758,6.1,6,14,124
18,Michael Vick,Virginia Tech,Big East,10,104,617,5.9,8,,104
19,Scott McKay,Air Force,MWC,11,80,653,7.2,4,11,91
20,LaDainian Tomlinson,Texas Christian,WAC,11,369,2198,5.8,22,10,379
22,Antwaan Randle El,Indiana,Big Ten,11,218,1270,5.8,13,,218
23,Jamel Patterson,Ohio,MAC,11,114,693,6.0,7,2,116
24,James Fenderson,Hawaii,WAC,11,113,867,6.1,8,30,143
25,Qualario Brown,Air Force,MWC,10,84,578,6.3,6,8,92
26,Anthony Young,Wake Forest,ACC,9,79,455,5.8,3,,79
27,Derek Watson,South Carolina,SEC,11,187,1259,6.1,11,21,208
28,Eric Crouch,Nebraska,Big 12,11,169,971,5.7,20,,169
29,Terrance Howard,Notre Dame,Ind,11,75,501,6.0,4,8,83
30,T.J. Duckett,Michigan State,Big Ten,11,240,1392,5.6,7,8,248
31,Jeremi Rudolph,UNLV,MWC,12,178,1049,5.7,9,6,184
32,Dontrell Jackson,Ohio,MAC,11,155,864,5.6,2,,155
33,Cecil Sapp,Colorado State,MWC,11,151,888,5.8,11,3,154
34,Fred Talley,Arkansas,SEC,8,137,813,5.7,5,6,143
35,Rocky Harvey,Illinois,Big Ten,11,123,774,5.5,3,17,140
36,Earnest Graham,Florida,SEC,12,121,819,5.9,8,19,140
37,Franklin Wallace,Marshall,MAC,10,100,679,6.0,8,13,113
38,Phil Branstetter,New Mexico State,Big West,11,74,579,6.6,7,14,88
39,Ken Simonton,Oregon State,Pac-10,12,284,1573,5.5,19,4,288
40,Emmett White,Utah State,Big West,11,242,1914,6.6,15,47,289
41,Woodrow Dantzler,Clemson,ACC,11,172,950,5.5,13,1,173
43,Drew Brees,Purdue,Big Ten,12,95,527,5.4,6,2,97
44,Tyree Foreman,Virginia,ACC,11,72,474,6.3,8,3,75
45,Michael Bennett,Wisconsin,Big Ten,11,310,1704,5.4,11,4,314
46,Robert Sanford,Western Michigan,MAC,12,293,1623,5.4,18,6,299
47,Anthony Thomas,Michigan,Big Ten,11,287,1790,6.0,17,13,300
48,Ennis Haywood,Iowa State,Big 12,10,229,1448,5.7,8,25,254
49,Lee Suggs,Virginia Tech,Big East,11,222,1251,5.6,28,3,225
50,Kevin Brown,UNLV,MWC,12,148,801,5.4,3,1,149
51,Dontae Walker,Mississippi State,SEC,11,148,868,5.5,9,9,157
52,Robert Gillespie,Florida,SEC,11,125,896,5.9,6,26,151
53,Richard Whitaker,Texas A&M,Big 12,10,84,514,5.4,6,11,95
54,Chris Perry,Michigan,Big Ten,9,77,417,5.4,5,,77
55,Kevan Barlow,Pitt,Big East,11,197,1187,5.7,9,13,210
56,Leonard Henry,East Carolina,CUSA,11,133,848,5.6,9,18,151
57,Albert Grundy,Buffalo,MAC,9,80,469,5.3,4,9,89
58,Tavares Bolden,Toledo,MAC,11,73,390,5.3,5,,73
59,Travis Henry,Tennessee,SEC,11,253,1379,5.2,11,13,266
60,Tanardo Sharps,Temple,Big East,11,201,1145,5.3,10,16,217
61,Steve Little,Miami (OH),MAC,10,189,1018,5.3,8,4,193
62,John Simon,Louisiana Tech,Ind,12,109,1276,7.0,4,72,181
64,Sultan McCullough,USC,Pac-10,12,227,1188,5.0,6,9,236
65,Travis Minor,Florida State,ACC,12,181,1256,5.6,5,42,223
66,Mewelde Moore,Tulane,CUSA,10,174,1240,6.0,3,33,207
67,Derek Combs,Ohio State,Big Ten,11,175,966,5.3,5,9,184
68,Tarence Williams,Wake Forest,ACC,11,130,733,5.2,7,12,142
69,Patrick McCall,Oregon State,Pac-10,12,129,690,5.1,7,6,135
70,Leo Mills,Arizona,Pac-10,11,114,628,5.4,4,3,117
71,Jarmar Julien,San Jose State,WAC,11,111,648,5.4,9,8,119
72,Andre Kendrick,Virginia Tech,Big East,11,107,571,5.2,3,3,110
73,Nathan Beard,Air Force,MWC,11,108,551,5.1,8,1,109
74,Don Calloway,Middle Tennessee State,Ind,9,83,589,6.4,8,9,92
75,Willie Alderson,Idaho,Big West,11,238,1615,5.7,15,45,283
76,Hodges Mitchell,Texas,Big 12,11,224,1504,5.8,11,37,261
77,Thomas Hammock,Northern Illinois,MAC,9,215,1154,5.2,16,6,221
78,Reggie White,Oklahoma State,Big 12,11,210,1172,5.2,4,16,226
79,Travis Zachery,Clemson,ACC,11,201,1300,5.7,17,27,228
80,James Jackson,Miami (FL),Big East,11,201,1062,5.1,13,9,210
81,Jonathan Adams,Arkansas State,Big West,11,202,1130,5.2,7,15,217
82,Chad Brinker,Ohio,MAC,11,147,867,5.7,12,4,151
83,Mark Henderson,Louisiana-Monroe,Ind,10,88,472,4.9,1,9,97
85,Antwoine Womack,Virginia,ACC,11,210,1109,5.1,9,8,218
86,Michael Turner,Northern Illinois,MAC,11,200,1028,5.0,7,4,204
87,Eric McCoo,Penn State,Big Ten,12,140,980,5.9,9,26,166
88,Scott Becker,Air Force,MWC,11,90,470,4.9,2,5,95
89,Ray Perkins,Vanderbilt,SEC,11,87,527,5.3,2,13,100
90,Sage Rosenfels,Iowa State,Big 12,11,78,381,4.9,10,,78
91,Rudi Johnson,Auburn,SEC,12,324,1637,4.9,13,9,333
92,Brandon Payne,Akron,MAC,11,220,1273,5.3,16,22,242
93,Jegil Dugger,UAB,CUSA,11,177,886,4.8,5,8,185
94,Deuce McAllister,Ole Miss,SEC,11,159,957,5.4,16,18,177
95,Chris Porter,UTEP,WAC,11,142,719,4.9,6,5,147
96,Clarence Farmer,Arizona,Pac-10,10,138,691,4.8,5,6,144
97,Ahmaad Galloway,Alabama,SEC,11,137,707,5.0,7,4,141
98,Antwon McCray,Toledo,MAC,11,119,605,4.8,3,7,126
99,Larry Johnson,Penn State,Big Ten,12,75,480,5.7,4,9,84
100,Ladell Betts,Iowa,Big Ten,12,233,1201,4.8,5,17,250
101,Chad Scott,Kentucky,SEC,10,130,872,5.3,4,34,164
102,Marquis Dwarte,Buffalo,MAC,11,129,692,4.9,1,12,141
103,Michael Wagner,Iowa State,Big 12,10,85,410,4.7,6,2,87
104,Cal Murray,Miami (OH),MAC,7,72,415,5.1,6,10,82
106,Brock Forsey,Boise State,Big West,10,197,1313,6.0,16,23,220
107,Joe Igber,California,Pac-10,11,195,1130,5.2,7,23,218
108,Dave Minnich,Washington State,Pac-10,11,165,809,4.6,4,9,174
109,Tony Fisher,Notre Dame,Ind,11,132,713,5.0,9,12,144
110,Jimmie Gray,Akron,MAC,11,111,507,4.5,2,2,113
111,Chris Douglas,Duke,ACC,11,110,671,5.1,7,22,132
112,Brian McDonald,Brigham Young,MWC,12,101,543,4.7,8,15,116
113,Corey Baker,UCF,Ind,11,91,568,5.3,3,17,108
114,Corey Addison,Louisiana Tech,Ind,12,82,383,4.6,6,1,83
115,Robbie Beck,Rice,WAC,11,77,408,5.1,7,3,80
116,Joe Sherrill,Ohio,MAC,9,70,350,4.7,1,5,75
117,Rovann Cleveland,UTEP,WAC,9,69,331,4.6,3,3,72
118,Tellis Redmon,Minnesota,Big Ten,11,251,1440,5.1,8,29,280
119,Marcus Merriweather,Ball State,MAC,10,225,1037,4.5,8,8,233
120,Avon Cobourne,West Virginia,Big East,9,197,956,4.7,7,5,202
121,Tony Stallings,Louisville,CUSA,11,181,966,4.8,9,21,202
122,Zain Gilmore,Missouri,Big 12,11,139,697,4.7,7,10,149
123,Brandon Miree,Alabama,SEC,11,94,437,4.6,6,1,95
124,Montrell Lowe,Purdue,Big Ten,12,226,1014,4.4,6,2,228
125,Ja'Quay Wilburn,North Texas,Big West,11,173,819,4.5,4,10,183
127,Cedric Washington,Boston College,Big East,10,152,869,5.2,8,16,168
128,Jonathan Wells,Ohio State,Big Ten,12,136,686,4.7,6,9,145
129,Marquel Blackwell,South Florida,Ind,11,128,566,4.4,3,,128
130,Darren Brister,Louisiana,Ind,10,116,617,4.8,1,12,128
131,Joe Weber,Texas A&M,Big 12,11,101,541,4.8,3,11,112
132,Renaldo Works,Oklahoma,Big 12,11,89,496,4.8,6,15,104
133,Travis Stephens,Tennessee,SEC,11,81,387,4.4,7,6,87
134,Musa Smith,Georgia,SEC,9,75,323,4.2,5,2,77
135,Lamont Jordan,Maryland,ACC,11,213,1207,5.2,11,21,234
136,David Winbush,Kansas,Big 12,11,163,969,5.3,6,20,183
137,Dawayne Woods,Southern Mississippi,CUSA,11,146,781,4.9,10,15,161
138,Cortlen Johnson,Colorado,Big 12,8,144,739,4.9,9,7,151
139,Jason Thomas,UNLV,MWC,11,138,599,4.3,11,,138
140,Dennis Thomas,Rutgers,Big East,11,137,810,5.1,4,21,158
141,Josh Levi,Fresno State,WAC,9,92,439,4.5,2,5,97
142,Maurice Morris,Oregon,Pac-10,12,286,1396,4.5,10,23,309
143,Josh Scobey,Kansas State,Big 12,13,169,747,4.3,16,4,173
144,Rafael Williams,South Florida,Ind,11,167,974,4.9,4,31,198
145,Mike Williams,Arizona State,Pac-10,12,121,520,4.3,5,1,122
146,Brandon Holmes,Arkansas,SEC,11,111,475,4.2,7,2,113
148,Jamie Tyler,Rice,WAC,10,95,400,4.2,5,,95
149,Willie Parker,North Carolina,ACC,9,84,461,4.9,4,10,94
150,Ashantti Watson,Eastern Michigan,MAC,11,85,440,4.4,4,16,101
151,Thomas Tapeh,Minnesota,Big Ten,7,81,380,4.5,3,3,84
152,Matt LoVecchio,Notre Dame,Ind,8,72,300,4.2,2,,72
153,Josh Harris,Bowling Green State,MAC,6,69,292,4.2,2,1,70
154,Cedric Cobbs,Arkansas,SEC,3,70,317,4.4,4,2,72
155,Joe Burns,Georgia Tech,ACC,11,220,1150,4.7,13,26,246
156,Quentin Griffin,Oklahoma,Big 12,13,200,1252,5.0,17,51,251
157,Ray Robinson,North Carolina State,ACC,11,193,1154,4.9,8,41,234
158,Kerry Carter,Stanford,Pac-10,11,179,822,4.5,7,4,183
159,Labrandon Toefield,LSU,SEC,10,165,726,4.2,5,7,172
160,Adam Tate,Utah,MWC,9,160,714,4.3,7,5,165
161,Julius Jones,Notre Dame,Ind,10,162,707,4.2,7,6,168
162,Demarco McCleskey,Cincinnati,CUSA,11,141,646,4.3,8,8,149
163,Jarrod Baxter,New Mexico,MWC,12,138,563,4.1,4,1,139
164,Sherman Austin,UTEP,WAC,11,101,420,4.0,1,3,104
165,Ray Jackson,Cincinnati,CUSA,11,215,998,4.5,8,9,224
166,Ken Bohanon,Tulsa,WAC,12,202,880,4.2,10,9,211
167,Chante Murphy,Kent State,MAC,11,199,993,4.5,3,23,222
169,Antoineo Harris,Illinois,Big Ten,11,192,799,4.1,7,3,195
170,Holmon Wiggins,New Mexico,MWC,12,180,780,4.1,6,8,188
171,Tom Pace,Arizona State,Pac-10,10,180,912,4.8,8,9,189
172,Mike Thiessen,Air Force,MWC,11,179,713,4.0,10,,179
173,Raheem Lambert,Navy,Ind,11,151,600,3.9,0,2,153
174,Jared McGrath,Vanderbilt,SEC,11,133,668,4.6,6,13,146
175,Rahsaan Sanders,Colorado State,MWC,11,131,543,4.0,4,5,136
176,Paris Gaines,Fresno State,WAC,11,90,525,4.8,1,19,109
177,Jeff Sanders,Memphis,CUSA,10,167,694,4.0,4,6,173
178,Joffrey Reynolds,Houston,CUSA,10,136,727,4.5,5,24,160
179,Cooper Rego,West Virginia,Big East,10,132,526,3.9,9,3,135
180,Darrell Bush,Baylor,Big 12,11,133,522,3.8,2,5,138
181,Brian Allen,Stanford,Pac-10,11,117,565,4.4,0,10,127
182,Edward Mack,UCF,Ind,11,89,430,4.3,5,12,101
183,Nick Goings,Pitt,Big East,11,75,416,4.8,0,11,86
184,Deshaun Foster,UCLA,Pac-10,10,243,1072,4.1,12,16,259
185,Jasper Sanks,Georgia,SEC,9,92,356,3.8,5,2,94
186,Dameon Hunter,Utah,MWC,10,89,335,3.7,1,1,90
187,Luke Staley,Brigham Young,MWC,11,130,806,5.1,7,28,158
188,Andrew Pinnock,South Carolina,SEC,12,110,443,3.9,7,5,115
190,Corey Evans,Rice,WAC,8,107,395,3.7,5,,107
191,Leif Penn,Houston,CUSA,11,94,370,3.7,3,5,99
192,Deon Burnett,Washington State,Pac-10,9,94,549,5.2,2,12,106
193,Jamie Wilson,East Carolina,CUSA,7,82,390,4.3,4,9,91
194,Kris Briggs,SMU,WAC,12,231,1138,4.2,3,38,269
195,John White,Eastern Michigan,MAC,10,155,653,3.9,6,13,168
196,Zack Abron,Missouri,Big 12,9,140,502,3.6,5,,140
197,Domanick Davis,LSU,SEC,11,123,565,4.3,5,9,132
198,Jerome Coleman,Louisiana,Ind,11,114,475,3.8,4,11,125
199,Duane Epperson,Duke,ACC,11,111,546,4.1,0,23,134
200,Moran Norris,Kansas,Big 12,7,87,339,3.8,2,3,90
201,Darnell Arceneaux,Utah,MWC,11,79,293,3.7,2,1,80
202,Mike Bath,Miami (OH),MAC,11,78,279,3.6,3,,78
203,Taber Small,Connecticut,Ind,11,161,781,4.2,9,23,184
204,Derek Armah,Wyoming,MWC,11,149,571,3.6,0,8,157
205,Brandon Russell,North Carolina,ACC,11,145,579,3.7,3,11,156
206,Vince Webber,Central Michigan,MAC,9,130,550,3.9,3,12,142
207,Booker Vann,Kent State,MAC,11,103,387,3.5,1,7,110
208,Michael Hickmon,North Texas,Big West,9,73,271,3.4,2,6,79
209,John Gibson,Bowling Green State,MAC,11,155,551,3.4,4,5,160
211,Jonathan Beasley,Kansas State,Big 12,13,149,499,3.3,17,,149
212,K.C. Enzminger,New Mexico State,Big West,11,136,450,3.3,1,,136
213,Ricky Williams,Texas Tech,Big 12,12,127,649,3.6,7,52,179
214,Evan Benson,Connecticut,Ind,7,70,300,3.9,1,6,76
215,Anthony Jones,Ball State,MAC,11,159,586,3.5,4,7,166
216,Brian Broadwater,Navy,Ind,10,129,428,3.3,4,1,130
217,Robbie Mixon,Central Michigan,MAC,5,89,481,4.5,2,17,106
218,Bart Hendricks,Boise State,Big West,11,85,269,3.2,6,,85
219,Casey Printers,Texas Christian,WAC,11,84,265,3.2,4,,84
220,Marques Tuiasosopo,Washington,Pac-10,11,126,394,3.1,6,,126
221,Joe Gunn,Ole Miss,SEC,11,125,488,3.5,3,15,140
222,Alton McCallum,Army,CUSA,11,74,243,3.1,3,5,79
223,Zak Kustok,Northwestern,Big Ten,12,166,505,3.0,9,,166
224,Dylen Smith,Kansas,Big 12,11,125,371,3.0,9,,125
225,Ja'Mar Toombs,Texas A&M,Big 12,11,117,451,3.6,14,10,127
226,Brooks Bollinger,Wisconsin,Big Ten,12,157,481,3.0,6,1,158
227,Marquis Starks,Nevada,WAC,11,158,511,3.1,3,9,167
228,Ronald Curry,North Carolina,ACC,11,119,353,2.9,6,1,120
229,Talmadge Hill,Ball State,MAC,11,88,256,2.9,1,,88
230,Rashard Casey,Penn State,Big Ten,12,112,311,2.8,5,1,113
232,David Garrard,East Carolina,CUSA,11,135,358,2.7,5,,135
233,Larry Ned,San Diego State,MWC,6,139,380,2.6,6,6,145
234,Wayne Madkin,Mississippi State,SEC,11,69,179,2.6,5,,69
235,Dave Ragone,Louisville,CUSA,11,101,252,2.5,6,1,102
236,Darius Outlaw,Missouri,Big 12,10,110,259,2.4,5,,110
237,Scott Hall,North Texas,Big West,11,100,233,2.3,1,1,101
238,Josh McCown,SMU,WAC,11,78,175,2.2,3,,78
239,Donte' Hart,Tulsa,WAC,11,78,201,2.4,3,5,83
240,Ed Malinowski,Navy,Ind,11,104,209,2.0,5,1,105
241,Josh Heupel,Oklahoma,Big 12,13,83,167,2.0,7,,83
242,Aso Pogi,Oklahoma State,Big 12,10,85,168,2.0,6,1,86
243,Jared Lorenzen,Kentucky,SEC,11,76,140,1.8,5,,76
244,Steve Bellisari,Ohio State,Big Ten,12,107,180,1.7,1,1,108
245,Troy Nunes,Syracuse,Big East,11,78,106,1.4,2,,78
246,David Neill,Nevada,WAC,11,103,131,1.3,4,,103
247,Ortege Jenkins,Arizona,Pac-10,11,133,166,1.2,5,,133
248,Rocky Perez,UTEP,WAC,11,74,82,1.1,6,,74
249,Byron Leftwich,Marshall,MAC,12,82,83,1.0,1,,82
250,Rudy Caamano,New Mexico,MWC,12,109,95,0.9,1,1,110
251,Jeff Kelly,Southern Mississippi,CUSA,11,148,54,0.4,4,,148
253,John Welsh,Idaho,Big West,11,80,28,0.4,1,,80
254,Kliff Kingsbury,Texas Tech,Big 12,12,78,19,0.2,2,,78
255,Jeff Smoker,Michigan State,Big Ten,9,73,-5,-0.1,2,,73
256,Devin Scott,Temple,Big East,11,69,0,0.0,1,1,70
257,Josh Blankenship,Tulsa,WAC,12,81,-19,-0.2,1,,81
258,Andy Sahm,Bowling Green State,MAC,11,81,-76,-0.9,3,,81
259,Philip Rivers,North Carolina State,ACC,11,73,-68,-0.9,3,1,74
260,D. Bryant,Duke,ACC,11,79,-67,-0.8,2,2,81
261,Jason McKinley,Houston,CUSA,11,73,-131,-1.8,1,,73
